12.789,14.283,12.804,14.294,1000,1000
10.857,15.788,10.796,15.849,1000,1000
16.452,15.825,16.445,15.772,16.446,15.831
11.302,16.558,1000,1000,1000,1000
9.081,10.735,9.092,10.742,9.081,10.735
9.534,6.844,1000,1000,1000,1000
2.491,9.926,1000,1000,1000,1000
8.520,8.984,8.558,9.030,8.533,8.971
8.789,3.653,1000,1000,1000,1000
8.061,12.408,1000,1000,1000,1000
6.384,6.353,6.375,6.334,1000,1000
17.123,8.389,1000,1000,1000,1000
11.418,14.540,11.436,14.522,1000,1000
7.654,14.924,1000,1000,1000,1000
8.225,12.618,1000,1000,1000,1000
10.128,8.210,10.098,8.180,1000,1000
10.528,10.336,1000,1000,1000,1000
11.526,7.714,11.589,7.717,1000,1000
13.960,6.899,13.990,6.929,14.007,6.914
7.430,12.188,7.443,12.175,1000,1000
7.539,7.292,7.537,7.326,7.515,7.316
10.041,15.765,1000,1000,1000,1000
9.723,13.190,9.774,13.193,1000,1000
12.998,8.446,13.046,8.398,13.038,8.408
14.383,2.761,1000,1000,1000,1000
8.189,5.231,8.270,5.228,1000,1000
1.645,8.323,1.641,8.327,1.693,8.349
12.068,9.955,1000,1000,1000,1000
14.364,8.005,14.381,7.988,14.346,8.029
10.982,5.862,1000,1000,1000,1000
10.177,11.496,10.203,11.470,1000,1000
11.509,6.521,11.506,6.514,1000,1000
8.220,10.157,1000,1000,1000,1000
6.407,10.172,6.439,10.234,1000,1000
9.096,7.392,9.068,7.364,1000,1000
10.261,12.339,10.284,12.346,1000,1000
9.384,10.303,9.312,10.375,9.361,10.326
9.323,6.140,9.372,6.189,1000,1000
8.012,11.480,7.962,11.530,1000,1000
14.165,9.506,1000,1000,1000,1000
7.049,15.690,7.108,15.631,1000,1000
13.216,6.776,13.217,6.775,13.227,6.765
6.633,10.014,6.664,10.013,1000,1000
7.437,9.154,7.491,9.100,7.499,9.092
6.054,12.231,1000,1000,1000,1000
8.518,12.422,8.553,12.479,1000,1000
13.777,11.961,13.827,12.011,13.824,12.008
8.555,13.800,1000,1000,1000,1000
12.766,8.904,12.675,8.913,1000,1000
8.750,12.697,8.829,12.618,1000,1000
6.690,12.364,1000,1000,1000,1000
6.801,7.056,6.853,7.004,1000,1000
8.203,13.105,1000,1000,1000,1000
5.579,3.969,5.570,3.960,1000,1000
5.316,2.375,1000,1000,1000,1000
7.841,6.983,7.856,6.968,7.905,6.919
7.131,6.057,1000,1000,1000,1000
9.730,12.518,1000,1000,1000,1000
8.060,6.487,8.148,6.399,8.102,6.445
6.705,7.795,6.736,7.826,6.717,7.807
6.231,12.914,6.220,12.995,1000,1000
9.357,11.289,9.354,11.292,1000,1000
16.086,11.448,1000,1000,1000,1000
9.915,7.378,1000,1000,1000,1000
9.914,11.857,9.947,11.824,1000,1000
6.906,11.290,6.882,11.336,1000,1000
10.545,12.103,1000,1000,1000,1000
1.467,9.987,1.418,10.006,1.440,9.984
12.846,6.283,1000,1000,1000,1000
9.856,9.351,9.874,9.271,9.826,9.319
12.516,11.324,12.540,11.370,12.490,11.320
11.688,11.705,1000,1000,1000,1000
6.558,6.931,6.589,6.962,1000,1000
5.185,10.728,1000,1000,1000,1000
8.184,11.618,8.189,11.623,8.265,11.611
5.562,11.271,5.475,11.270,5.541,11.336
4.620,11.654,4.599,11.633,1000,1000
6.897,10.243,6.887,10.233,6.818,10.254
9.676,14.147,9.633,14.148,9.683,14.140
14.192,9.098,14.170,9.150,1000,1000
6.832,4.975,6.775,4.936,6.810,4.901
11.245,10.847,11.179,10.855,11.163,10.929
10.591,13.938,10.626,13.973,10.631,13.978
9.655,7.385,9.579,7.461,1000,1000
8.308,12.508,1000,1000,1000,1000
16.315,10.242,16.335,10.222,16.364,10.223
10.157,9.544,1000,1000,1000,1000
12.378,6.245,1000,1000,1000,1000
4.465,10.357,1000,1000,1000,1000
7.692,8.230,7.682,8.220,7.699,8.219
10.952,7.213,1000,1000,1000,1000
11.704,10.837,11.740,10.899,1000,1000
11.517,12.780,1000,1000,1000,1000
11.747,12.385,1000,1000,1000,1000
11.436,9.247,11.422,9.307,1000,1000
14.606,6.154,14.606,6.154,14.614,6.162
12.370,9.201,1000,1000,1000,1000
14.541,10.616,14.492,10.567,1000,1000
16.929,4.745,16.911,4.737,1000,1000
9.215,6.757,9.224,6.748,9.199,6.773
